# Unixtime of reading, Heart Rate RPM
1667861489,71.000000
1667861490,71.000000
1667861491,71.000000
1667861492,71.000000
1667861493,68.000000
1667861494,65.000000
1667861495,64.000000
1667861496,63.000000
1667861497,63.000000
1667861498,62.000000
1667861499,62.000000
1667861500,64.000000
1667861501,64.000000
1667861502,64.000000
1667861503,64.000000
1667861504,64.000000
1667861505,65.000000
1667861506,65.000000
1667861507,64.000000
1667861508,62.000000
1667861509,61.000000
1667861510,61.000000
1667861511,60.000000
1667861512,60.000000
1667861513,60.000000
1667861514,60.000000
1667861515,61.000000
1667861516,61.000000
1667861517,61.000000
1667861518,61.000000
1667861519,61.000000
1667861520,62.000000
1667861521,64.000000
1667861522,65.000000
1667861523,66.000000
1667861524,69.000000
1667861525,69.000000
1667861526,70.000000
1667861527,71.000000
1667861528,71.000000
1667861529,71.000000
1667861530,71.000000
1667861531,72.000000
1667861532,72.000000
1667861533,74.000000
1667861534,72.000000
1667861535,70.000000
1667861536,69.000000
1667861537,70.000000
1667861538,68.000000
1667861539,67.000000
1667861540,67.000000
1667861541,67.000000
1667861542,67.000000
1667861543,66.000000
1667861544,63.000000
1667861545,60.000000
1667861546,57.000000
1667861547,56.000000
1667861548,58.000000
1667861549,59.000000
1667861550,60.000000
1667861551,60.000000
1667861552,60.000000
1667861553,59.000000
1667861554,59.000000
1667861555,59.000000
1667861556,59.000000
1667861557,60.000000
1667861558,61.000000
1667861559,61.000000
1667861560,60.000000
1667861561,59.000000
1667861562,58.000000
1667861563,58.000000
1667861564,58.000000
1667861565,57.000000
1667861566,58.000000
1667861567,59.000000
1667861568,60.000000
1667861569,62.000000
1667861570,63.000000
1667861571,63.000000
1667861572,63.000000
1667861573,63.000000
1667861574,61.000000
1667861575,62.000000
1667861576,62.000000
1667861577,61.000000
1667861578,62.000000
1667861579,62.000000
1667861580,61.000000
1667861581,62.000000
1667861582,62.000000
1667861583,62.000000
1667861584,61.000000
1667861585,63.000000
1667861586,65.000000
1667861587,66.000000
1667861588,67.000000
1667861589,69.000000
1667861590,69.000000
1667861591,69.000000
1667861592,68.000000
1667861593,67.000000
1667861594,64.000000
1667861595,60.000000
1667861596,59.000000
1667861597,59.000000
1667861598,58.000000
1667861599,59.000000
1667861600,59.000000
1667861601,60.000000
1667861602,61.000000
1667861603,62.000000
1667861604,63.000000
1667861605,64.000000
1667861606,63.000000
1667861607,62.000000
1667861608,60.000000
1667861609,58.000000
1667861610,58.000000
1667861611,58.000000
1667861612,58.000000
1667861613,58.000000
1667861614,59.000000
1667861615,59.000000
1667861616,60.000000
1667861617,60.000000
1667861618,60.000000
1667861619,63.000000
1667861620,65.000000
1667861621,65.000000
1667861622,63.000000
1667861623,61.000000
1667861624,59.000000
1667861625,59.000000
1667861626,59.000000
1667861627,59.000000
1667861628,59.000000
1667861629,59.000000
1667861630,59.000000
1667861631,60.000000
1667861632,60.000000
1667861633,60.000000
1667861634,58.000000
1667861635,57.000000
1667861636,57.000000
1667861637,56.000000
1667861638,55.000000
1667861639,55.000000
1667861640,55.000000
1667861641,57.000000
1667861642,58.000000
1667861643,58.000000
1667861644,58.000000
1667861645,59.000000
1667861646,59.000000
1667861647,59.000000
1667861648,59.000000
1667861649,59.000000
1667861650,58.000000
1667861651,58.000000
1667861652,58.000000
1667861653,58.000000
1667861654,60.000000
1667861655,61.000000
1667861656,62.000000
1667861657,62.000000
1667861658,62.000000
1667861659,62.000000
1667861660,61.000000
1667861661,60.000000
1667861662,59.000000
1667861663,59.000000
1667861664,59.000000
1667861665,58.000000
1667861666,58.000000
1667861667,57.000000
1667861668,58.000000
1667861669,59.000000
1667861670,59.000000
1667861671,59.000000
1667861672,60.000000
1667861673,60.000000
1667861674,61.000000
1667861675,60.000000
1667861676,60.000000
1667861677,61.000000
1667861678,62.000000
1667861679,63.000000
1667861680,63.000000
1667861681,63.000000
1667861682,65.000000
1667861683,65.000000
1667861684,66.000000
1667861685,67.000000
1667861686,69.000000
1667861687,70.000000
1667861688,71.000000
1667861689,74.000000
1667861690,76.000000
1667861691,75.000000
1667861692,71.000000
1667861693,68.000000
1667861694,66.000000
1667861695,63.000000
1667861696,63.000000
1667861697,63.000000
1667861698,62.000000
1667861699,61.000000
1667861700,59.000000
1667861701,59.000000
1667861702,58.000000
1667861703,59.000000
1667861704,59.000000
1667861705,58.000000
1667861706,58.000000
1667861707,59.000000
1667861708,59.000000
1667861709,59.000000
1667861710,60.000000
1667861711,62.000000
1667861712,61.000000
1667861713,61.000000
1667861714,62.000000
1667861715,62.000000
1667861716,63.000000
1667861717,62.000000
1667861718,60.000000
1667861719,60.000000
1667861720,62.000000
1667861721,63.000000
1667861722,63.000000
1667861723,62.000000
1667861724,62.000000
1667861725,62.000000
1667861726,62.000000
1667861727,61.000000
1667861728,61.000000
1667861729,61.000000
1667861730,61.000000
1667861731,60.000000
1667861732,59.000000
1667861733,60.000000
1667861734,62.000000
1667861735,63.000000
1667861736,64.000000
1667861737,64.000000
1667861738,65.000000
1667861739,65.000000
1667861740,65.000000
1667861741,65.000000
1667861742,64.000000
1667861743,62.000000
1667861744,60.000000
1667861745,59.000000
1667861746,58.000000
1667861747,57.000000
1667861748,57.000000
1667861749,56.000000
1667861750,56.000000
1667861751,57.000000
1667861752,58.000000
1667861753,58.000000
1667861754,59.000000
1667861755,59.000000
1667861756,59.000000
1667861757,58.000000
1667861758,57.000000
1667861759,56.000000
1667861760,55.000000
1667861761,55.000000
1667861762,56.000000
1667861763,57.000000
1667861764,58.000000
1667861765,59.000000
1667861766,59.000000
1667861767,60.000000
1667861768,59.000000
1667861769,59.000000
1667861770,59.000000
1667861771,59.000000
1667861772,59.000000
1667861773,60.000000
1667861774,60.000000
1667861775,60.000000
1667861776,60.000000
1667861777,60.000000
1667861778,60.000000
1667861779,60.000000
1667861780,61.000000
1667861781,61.000000
1667861782,60.000000
1667861783,59.000000
1667861784,58.000000
1667861785,58.000000
1667861786,58.000000
1667861787,58.000000
1667861788,58.000000
1667861789,58.000000
1667861790,58.000000
1667861791,58.000000
1667861792,59.000000
1667861793,59.000000
1667861794,60.000000
1667861795,60.000000
1667861796,61.000000
1667861797,62.000000
