# Unixtime of reading, Heart Rate RPM
1667861087,71.000000
1667861088,71.000000
1667861091,71.000000
1667861091,72.000000
1667861091,71.000000
1667861093,72.000000
1667861093,72.000000
1667861096,72.000000
1667861096,74.000000
1667861097,74.000000
1667861098,75.000000
1667861098,75.000000
1667861099,75.000000
1667861102,76.000000
1667861102,76.000000
1667861105,72.000000
1667861105,74.000000
1667861105,70.000000
1667861105,68.000000
1667861106,68.000000
1667861107,66.000000
1667861108,65.000000
1667861110,66.000000
1667861110,66.000000
1667861111,66.000000
1667861111,66.000000
1667861114,66.000000
1667861114,66.000000
1667861114,66.000000
1667861115,66.000000
1667861117,66.000000
1667861117,66.000000
1667861118,66.000000
1667861120,65.000000
1667861120,65.000000
1667861121,65.000000
1667861122,65.000000
1667861124,65.000000
1667861124,65.000000
1667861126,64.000000
1667861126,64.000000
1667861128,64.000000
1667861128,63.000000
1667861129,62.000000
1667861132,60.000000
1667861132,59.000000
1667861132,57.000000
1667861133,57.000000
1667861134,57.000000
1667861136,58.000000
1667861136,58.000000
1667861137,58.000000
1667861137,57.000000
1667861138,58.000000
1667861139,58.000000
1667861140,58.000000
1667861141,58.000000
1667861143,58.000000
1667861143,58.000000
1667861144,58.000000
1667861145,58.000000
1667861149,59.000000
1667861149,59.000000
1667861149,59.000000
1667861149,59.000000
1667861150,58.000000
1667861152,58.000000
1667861155,59.000000
1667861155,58.000000
1667861155,59.000000
1667861155,58.000000
1667861156,57.000000
1667861157,57.000000
1667861157,58.000000
1667861159,58.000000
1667861159,59.000000
1667861160,59.000000
1667861161,60.000000
1667861163,60.000000
1667861163,60.000000
1667861165,61.000000
1667861165,60.000000
1667861166,60.000000
1667861167,61.000000
1667861168,61.000000
1667861171,61.000000
1667861171,63.000000
1667861171,64.000000
1667861172,64.000000
1667861174,64.000000
1667861174,63.000000
1667861176,65.000000
1667861176,66.000000
1667861177,66.000000
1667861181,68.000000
1667861181,67.000000
1667861181,68.000000
1667861181,68.000000
1667861183,68.000000
1667861183,68.000000
1667861185,68.000000
1667861185,68.000000
1667861186,68.000000
1667861187,69.000000
1667861188,69.000000
1667861189,69.000000
1667861190,69.000000
